id,arquivo,modelo,prompt_name,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score,article,answer,execution_time
1,acm (1).bib,gemma3:12b,prompt0,1,5,883,0.1129,0.1133,0.5663,0.0018875047187617,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""product line"" OR ""variability management"" OR ""feature-based development"") AND (""non-functional properties"" OR ""NFP"" OR ""quality attributes"" OR ""performance"" OR ""size"" OR ""binary size"" OR ""guarantees"" OR ""quality of service"" OR ""QoS"") AND (""measurement"" OR ""metrics"" OR ""assessment"" OR ""evaluation"" OR ""analysis"")",27.02
10,acm (10).bib,gemma3:12b,prompt2,0,4,466,0.0,0.0,0.8584,0.0,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR SPL OR ""product line engineering"" OR ""product family"" OR ""variant management"" OR ""variability management"" OR ""feature-oriented programming"") AND (""non-functional properties"" OR ""quality attributes"" OR ""performance"" OR ""footprint"" OR ""energy consumption"" OR ""scalability"" OR ""reliability"" OR ""maintainability"" OR ""usability"" OR ""security"") AND (""optimization"" OR ""optimization techniques"" OR ""performance tuning"" OR ""trade-off analysis"" OR ""quality optimization"") AND (""measurement"" OR ""assessment"" OR ""evaluation"" OR ""profiling"" OR ""benchmarking"") AND (""feature selection"" OR ""variant derivation"" OR ""configuration"" OR ""customization"") AND (""case studies"" OR ""application domains"" OR ""real-world applications"")",54.33
11,acm (11).bib,gemma3:12b,prompt2,1,4,919,0.1129,0.1088,0.4353,0.0017410228509249,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""product family"" OR ""software variants"" OR ""variant management"") AND (""non-functional properties"" OR ""quality attributes"" OR ""performance"" OR ""reliability"" OR ""security"" OR ""usability"" OR ""maintainability"" OR ""scalability"" OR ""efficiency"" OR ""binary size"") AND (""measurement"" OR ""metrics"" OR ""assessment"" OR ""evaluation"" OR ""analysis"" OR ""testing"" OR ""validation"") AND (""configuration"" OR ""derivation"" OR ""generation"" OR ""customization"" OR ""adaptation"") AND (""software modules"" OR ""code units"" OR ""components"" OR ""artifacts"")",40.47
12,acm (12).bib,gemma3:12b,prompt2,1,8,773,0.1129,0.1294,1.0349,0.0022998418858703,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""neural network"" OR ""deep learning"" OR ""classification"" OR ""prediction"" OR ""pattern recognition"") AND (""software defect"" OR ""defect prediction"" OR ""fault prediction"" OR ""bug prediction"" OR ""fault detection"" OR ""error prediction"" OR ""software quality"" OR ""code quality"") AND (""source code"" OR ""codebase"" OR ""software project"" OR ""software development"" OR ""code analysis"" OR ""software metrics"" OR ""code metrics"") AND (""feature selection"" OR ""variable selection"" OR ""attribute selection"" OR ""dimensionality reduction"" OR ""importance ranking"") AND (""accuracy"" OR ""sensitivity"" OR ""specificity"" OR ""performance"" OR ""effectiveness"")",45.7
13,acm (13).bib,gemma3:12b,prompt2,1,6,921,0.1129,0.1086,0.6515,0.0018613308515588,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""data mining"" OR ""artificial intelligence"" OR ""AI"" OR ""predictive modeling"") AND (""product line"" OR ""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""variant generation"" OR ""configuration management"" OR ""feature engineering"") AND (""constraint"" OR ""constraints"" OR ""rules"" OR ""dependencies"" OR ""relationships"" OR ""restrictions"" OR ""limitations"" OR ""validation"" OR ""verification"") AND (""oracle"" OR ""assessment"" OR ""evaluation"" OR ""testing"" OR ""quality assurance"" OR ""correctness"" OR ""validation"")",44.21
14,acm (14).bib,gemma3:12b,prompt2,1,3,17,0.1129,5.8824,17.6471,0.088235294117647,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable system*"" OR ""variant generation"" OR ""product configurator"" OR ""product variation"" OR ""system configuration"" OR ""feature-based system*"" OR ""system design space"") AND (""performance prediction"" OR ""performance modeling"" OR ""performance evaluation"" OR ""system analysis"" OR ""simulation"" OR ""estimation"" OR ""modeling and simulation"") AND (""sampling"" OR ""sample selection"" OR ""data selection"" OR ""subset selection"" OR ""experimental design"") AND (""feature frequency"" OR ""feature coverage"" OR ""attribute frequency"" OR ""attribute coverage"" OR ""characteristic frequency"" OR ""characteristic coverage"")",33.73
15,acm (15).bib,mistral-nemo:latest,prompt0,1,7,897,0.1129,0.1115,0.7804,0.0019509476031215,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional properties"" OR ""NFP"" OR ""quality attributes"" OR ""performance"" OR ""footprint"" OR ""energy efficiency"")",21.51
16,acm (16).bib,mistral-nemo:latest,prompt0,1,4,928,0.1129,0.1078,0.431,0.0017241379310344,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional property"" OR ""functional property"" OR ""performance guarantee"" OR ""binary size"" OR ""code unit"" OR ""feature"" OR ""configuration process"")",9.06
17,acm (17).bib,mistral-nemo:latest,prompt0,0,4,908,0.0,0.0,0.4405,0.0,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"") AND (""software defect"" OR ""defect prediction"" OR ""software fault"")",6.07
18,acm (18).bib,mistral-nemo:latest,prompt0,0,1,895,0.0,0.0,0.1117,0.0,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"") AND (""product line engineering"" OR ""software product line"" OR ""SPL"" OR ""variability management"" OR ""constraints"" OR ""configuration"" OR ""product-line constraints"" OR ""cross-tree constraints"")",10.06
