Database,cite,author,title,acronym,booktitle,pages,Start Page,End Page,year,publisher,doi,Link,IC1,IC2,IC3,EC1,EC2,EC3,Selected,Note,
ACM,,Paul Temple and Jos&#233; A. Galindo and Mathieu Acher and Jean-Marc J&#233;z&#233;quel,Using Machine Learning to Infer Constraints for Product Lines,SPLC '16,Proceedings of the 20th International Systems and Software Product Line Conference,209--218,,,2016,ACM,10.1145/2934466.2934472,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Using machine learning to infer constraints for product lines
ACM,,Pooyan Jamshidi and Miguel Velez and Christian K&#228;stner and Norbert Siegmund and Prasad Kawthekar,Transfer Learning for Improving Model Predictions in Highly Configurable Software,SEAMS '17,Proceedings of the 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems,31--41,,,2017,IEEE Press,10.1109/SEAMS.2017.11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Transfer Learning for Improving Model Predictions in Highly Configurable Software
ACM,,Cheng Ma and Baofeng Yao and Fang Ge and Yurong Pan and Youqiang Guo,Improving Prediction of Student Performance Based on Multiple Feature Selection Approaches,ICEBT 2017,"Proceedings of the 2017 International Conference on E-Education, E-Business and E-Technology",36--41,,,2017,ACM,10.1145/3141151.3141160,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Improving prediction of student performance based on multiple feature selection approaches
ACM,,Shivkumar Shivaji and E. James Whitehead Jr. and Ram Akella and Sunghun Kim,Reducing Features to Improve Bug Prediction,ASE '09,Proceedings of the 2009 IEEE/ACM International Conference on Automated Software Engineering,600--604,,,2009,IEEE Computer Society,10.1109/ASE.2009.76,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Reducing features to improve bug prediction
ACM,,"Richard H. Eckhouse,Jr. and David L. Nelson",Closely Coupled Multiprocessor Systems,ACM-SE 14,Proceedings of the 14th Annual Southeast Regional Conference,151--164,,,1976,ACM,10.1145/503561.503595,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,"too old, not on SPL. http://delivery.acm.org/10.1145/510000/503595/p151-eckhouse.pdf?ip=131.254.243.128&id=503595&acc=ACTIVE%20SERVICE&key=7EBF6E77E86B478F%2E9BD6B3DBCD4B0A3B%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&__acm__=1556629579_ccb4412bac2b7beacbcba4f6a59085e5",
ACM,,David Bartholomew Stewart and Efstathios Papaefstathiou and Jonathan Hardwick,An Optimization Framework for Web Farm Configuration,WOSP '02,Proceedings of the 3rd International Workshop on Software and Performance,294--301,,,2002,ACM,10.1145/584369.584414,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Not on learning,
ACM,,Carlos Fernandez-Lozano and Rafael Alonso Valente and Manuel Fidalgo D&#237;az and Alejandro Pazos,A Generalized Linear Model for Cardiovascular Complications Prediction in PD Patients,DATA '18,"Proceedings of the First International Conference on Data Science, E-learning and Information Systems",43:1--43:3,,,2018,ACM,10.1145/3279996.3280039,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques in Medicine,
ACM,,Rodrigo Vivanco and Dean Jin,Improving Predictive Models of Cognitive Complexity Using an Evolutionary Computational Approach: A Case Study,CASCON '07,Proceedings of the 2007 Conference of the Center for Advanced Studies on Collaborative Research,109--123,,,2007,IBM Corp.,10.1145/1321211.1321223,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Genetic approach for metrics,
ACM,,Dennis Westermann and Jens Happe and Rouven Krebs and Roozbeh Farahbod,Automated Inference of Goal-oriented Performance Prediction Functions,ASE 2012,Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering,190--199,,,2012,ACM,10.1145/2351676.2351703,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,YES,,
ACM,,Olivier Chapelle and Eren Manavoglu and Romer Rosales,Simple and Scalable Response Prediction for Display Advertising,,,61:1--61:34,,,2014,ACM,10.1145/2532128,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for displaying advertising,
