"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ren J.; Li J.; Meng X.","Ren, Jianhua (55570793500); Li, Jing (59080841100); Meng, Xiangfu (57208540297)","55570793500; 59080841100; 57208540297","Document Classification Method Based on Context Awareness and Hierarchical Attention Network; [上下文感知与层级注意力网络的文档分类方法]","2021","Journal of Frontiers of Computer Science and Technology","15","2","","305","314","9","2","10.3778/j.issn.1673-9418.1912048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113797026&doi=10.3778%2fj.issn.1673-9418.1912048&partnerID=40&md5=4833e5eaeebf60d5681c45112988a4cc","Article","Final","","Scopus","2-s2.0-85113797026"
"Sheu J.-S.; Wu S.-R.; Wu W.-H.","Sheu, Jeng-Shin (54963790900); Wu, Siang-Ru (58128251800); Wu, Wen-Hung (58127704700)","54963790900; 58128251800; 58127704700","Performance Improvement on Traditional Chinese Task-Oriented Dialogue Systems With Reinforcement Learning and Regularized Dropout Technique","2023","IEEE Access","11","","","19849","19862","13","5","10.1109/ACCESS.2023.3248796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149385447&doi=10.1109%2fACCESS.2023.3248796&partnerID=40&md5=0f398f7202a2989278701d2df5850134","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149385447"
"Chen Z.; Liu C.","Chen, Zhonghao (57388822400); Liu, Cong (35208633300)","57388822400; 35208633300","An Attention Method to Introduce Prior Knowledge in Dialogue State Tracking","2021","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13110 LNCS","","","544","557","13","0","10.1007/978-3-030-92238-2_45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121925003&doi=10.1007%2f978-3-030-92238-2_45&partnerID=40&md5=4ee487aa2210024c851031610b6635f7","Conference paper","Final","","Scopus","2-s2.0-85121925003"
"Ji T.; Yin X.; Cheng P.; Zhou L.; Liu S.; Bao W.; Lyu C.","Ji, Tianbo (57204391153); Yin, Xuanhua (57999564400); Cheng, Peng (57661547200); Zhou, Liting (56595378300); Liu, Siyou (57190124446); Bao, Wei (56428494300); Lyu, Chenyang (57220488337)","57204391153; 57999564400; 57661547200; 56595378300; 57190124446; 56428494300; 57220488337","IvCDS: An End-to-End Driver Simulator for Personal In-Vehicle Conversational Assistant","2022","International Journal of Environmental Research and Public Health","19","23","15493","","","","0","10.3390/ijerph192315493","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143710121&doi=10.3390%2fijerph192315493&partnerID=40&md5=c4130505ffb86761cf718e768923a421","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85143710121"
"Li X.; Song K.; Feng S.; Wang D.; Zhang Y.","Li, Xiangju (56819139400); Song, Kaisong (55131158400); Feng, Shi (36173786700); Wang, Dating (8543200700); Zhang, Yifei (36618421200)","56819139400; 55131158400; 36173786700; 8543200700; 36618421200","A co-attention neural network model for emotion cause analysis with emotional context awareness","2018","Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, EMNLP 2018","","","","4752","4757","5","115","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072965695&partnerID=40&md5=edfd1988e67ff9b11169bc5806acaeca","Conference paper","Final","","Scopus","2-s2.0-85072965695"
"Elder H.; Gehrmann S.; O’Connor A.; Liu Q.","Elder, Henry (57217384385); Gehrmann, Sebastian (57055812200); O’Connor, Alexander (59427353100); Liu, Qun (56181387900)","57217384385; 57055812200; 59427353100; 56181387900","E2E NLG challenge submission: Towards controllable generation of diverse natural language","2018","INLG 2018 - 11th International Natural Language Generation Conference, Proceedings of the Conference","","","","457","462","5","12","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070110909&partnerID=40&md5=1913f951543781e36facad75f8d43a12","Conference paper","Final","","Scopus","2-s2.0-85070110909"
"Chauhan R.; Shukla S.; Pokhriyal S.; Devliyal S.; Kumar R.R.","Chauhan, Rahul (57220045108); Shukla, Siddharth (59353004000); Pokhriyal, Siddharth (57462656400); Devliyal, Swati (55445459800); Kumar, Ravi Ranjan (57214462060)","57220045108; 59353004000; 57462656400; 55445459800; 57214462060","Enhancement of Usability of AI Chatbots using Machine Learning","2024","2024 Asia Pacific Conference on Innovation in Technology, APCIT 2024","","","","","","","0","10.1109/APCIT62007.2024.10673475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205548847&doi=10.1109%2fAPCIT62007.2024.10673475&partnerID=40&md5=1f46a85de63f12d9e466cd2939f752cf","Conference paper","Final","","Scopus","2-s2.0-85205548847"
"Carvalho I.; Oliveira H.G.; Silva C.","Carvalho, Isabel (57215935619); Oliveira, Hugo Goncalo (25031534700); Silva, Catarina (8770080300)","57215935619; 25031534700; 8770080300","The Importance of Context for Sentiment Analysis in Dialogues","2023","IEEE Access","11","","","86088","86103","15","5","10.1109/ACCESS.2023.3304633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168258567&doi=10.1109%2fACCESS.2023.3304633&partnerID=40&md5=67cd701910c68f2d6c8a38050d1906e5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85168258567"
"Yan Y.; Kang Y.; Huang W.; Cai X.","Yan, Yang (55903247900); Kang, Yufeng (59348645400); Huang, Wenbo (55903037200); Cai, Xudong (59658205200)","55903247900; 59348645400; 55903037200; 59658205200","Chinese medical named entity recognition utilizing entity association and gate context awareness","2025","PLoS ONE","20","2 February","e0319056","","","","0","10.1371/journal.pone.0319056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219012905&doi=10.1371%2fjournal.pone.0319056&partnerID=40&md5=8e5196ccf88c4bcd21313a1d7c9091ed","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85219012905"
"Mudigonda K.S.P.; Bulusu K.; Sri Y.; Damera A.; Kode V.","Mudigonda, Krishna Siva Prasad (57204723760); Bulusu, Karthik (59386038900); Sri, Yashmitha (59385315100); Damera, Adithi (59385531600); Kode, Vignesh (59385315200)","57204723760; 59386038900; 59385315100; 59385531600; 59385315200","Capturing multiple emotions from conversational data using fine tuned transformers","2024","International Journal of Computers and Applications","46","12","","1166","1178","12","0","10.1080/1206212X.2024.2420189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207523360&doi=10.1080%2f1206212X.2024.2420189&partnerID=40&md5=5c242c3c743251ad6e16583c1dd1ea3e","Article","Final","","Scopus","2-s2.0-85207523360"
"Wang D.; Chen Z.; He W.; Zhong L.; Tao Y.; Yang M.","Wang, Dingmin (57222286041); Chen, Ziyao (57225065948); He, Wanwei (57221048519); Zhong, Li (57225066345); Tao, Yunzhe (59275576900); Yang, Min (56349712700)","57222286041; 57225065948; 57221048519; 57225066345; 59275576900; 56349712700","A Template-guided Hybrid Pointer Network for Knowledge-based Task-oriented Dialogue Systems","2021","DialDoc 2021 - 1st Workshop on Document-Grounded Dialogue and Conversational Question Answering, Proceedings","","","","18","28","10","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123306623&partnerID=40&md5=bd885c89a207872281b74c0f8f8265d2","Conference paper","Final","","Scopus","2-s2.0-85123306623"
"Sonie O.; Chakraborty A.; Mullick A.","Sonie, Omprakash (57204706428); Chakraborty, Abir (57462192900); Mullick, Ankan (57200217431)","57204706428; 57462192900; 57200217431","concept2code: Deep Reinforcement Learning for Conversational AI","2022","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","4826","4827","1","0","10.1145/3534678.3542635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137140693&doi=10.1145%2f3534678.3542635&partnerID=40&md5=e89cc10f416d8802f0e873be583e6be9","Conference paper","Final","","Scopus","2-s2.0-85137140693"
"Shen T.; Wang X.","Shen, Tianhao (57651325700); Wang, Xiaojie (35235644100)","57651325700; 35235644100","Multi-Domain Dialogue State Tracking with Hierarchical Task Graph","2020","Proceedings of the International Joint Conference on Neural Networks","","","9206790","","","","2","10.1109/IJCNN48605.2020.9206790","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093835657&doi=10.1109%2fIJCNN48605.2020.9206790&partnerID=40&md5=f9cd86f38942e05943c7a4d49390a387","Conference paper","Final","","Scopus","2-s2.0-85093835657"
"Fernández-González D.","Fernández-González, Daniel (55358318900)","55358318900","Shift-Reduce Task-Oriented Semantic Parsing with Stack-Transformers","2024","Cognitive Computation","16","6","","2846","2862","16","0","10.1007/s12559-024-10339-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201793778&doi=10.1007%2fs12559-024-10339-4&partnerID=40&md5=dcf31e0b2b74caa6ae7b6cb58f6c20fc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85201793778"
"Lakkshmanan A.; Amudhan S.; Gaikwad S.M.; Tyagi A.K.","Lakkshmanan, Ajanthaa (56041905600); Amudhan, S. (59232933100); Gaikwad, Smita M. (58977112500); Tyagi, Amit Kumar (58100922500)","56041905600; 59232933100; 58977112500; 58100922500","Further research opportunities and challenges towards AI-driven tools for modern generation","2024","Impacts of Generative AI on Creativity in Higher Education","","","","69","100","31","0","10.4018/979-8-3693-2418-9.ch004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207580522&doi=10.4018%2f979-8-3693-2418-9.ch004&partnerID=40&md5=ce753cc3bccaaf36edb5262d517a389a","Book chapter","Final","","Scopus","2-s2.0-85207580522"
"Liu Q.; Cheng G.; Gunaratna K.; Qu Y.","Liu, Qingxia (57007322500); Cheng, Gong (36103954800); Gunaratna, Kalpa (57151152400); Qu, Yuzhong (8400208900)","57007322500; 36103954800; 57151152400; 8400208900","Entity summarization: State of the art and future challenges","2021","Journal of Web Semantics","69","","100647","","","","25","10.1016/j.websem.2021.100647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107659423&doi=10.1016%2fj.websem.2021.100647&partnerID=40&md5=5db182d663b29b9e8398dab4c475f3a9","Short survey","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85107659423"
"Qiu S.; Zhang K.","Qiu, Shuang (57226268411); Zhang, Kang (57360408800)","57226268411; 57360408800","Learning Personalized End-to-End Task-Oriented Dialogue for Fast and Reliable Adaptation","2021","2021 International Conference on Digital Society and Intelligent Systems, DSInS 2021","","","","62","66","4","2","10.1109/DSInS54396.2021.9670559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125106354&doi=10.1109%2fDSInS54396.2021.9670559&partnerID=40&md5=c732e8d81a857dba1bb54ac77d4b92b7","Conference paper","Final","","Scopus","2-s2.0-85125106354"
"Wang L.; Zhao Y.; Wang J.","Wang, Lubao (57932369300); Zhao, Yifan (57932230000); Wang, Junhua (55742774200)","57932369300; 57932230000; 55742774200","An end-to-end information fusion model for task-oriented dialogue systems","2022","ACM International Conference Proceeding Series","","","","155","158","3","0","10.1145/3562007.3562035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140067762&doi=10.1145%2f3562007.3562035&partnerID=40&md5=9ed69fdcbc8a7f63bde83a5547dd79ef","Conference paper","Final","","Scopus","2-s2.0-85140067762"
"Guimarães M.; Carneiro D.; Soares L.; Ribeiro M.; Loureiro G.","Guimarães, Miguel (57219162006); Carneiro, Davide (24723727400); Soares, Lucas (59704803800); Ribeiro, Miguel (59705517600); Loureiro, Gilberto (59704438500)","57219162006; 24723727400; 59704803800; 59705517600; 59704438500","A Human-Centric Architecture for Natural Interaction with Organizational Systems","2025","Lecture Notes in Networks and Systems","1283 LNNS","","","60","78","18","0","10.1007/978-3-031-84457-7_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000808921&doi=10.1007%2f978-3-031-84457-7_4&partnerID=40&md5=d0e0172c14fe64f1e69aa83d8b0d538d","Conference paper","Final","","Scopus","2-s2.0-105000808921"
"Juraska J.; Bowden K.K.; Walker M.","Juraska, Juraj (57212084055); Bowden, Kevin K. (57192085897); Walker, Marilyn (55461478300)","57212084055; 57192085897; 55461478300","ViGGO: A video game corpus for data-to-text generation in open-domain conversation","2019","INLG 2019 - 12th International Conference on Natural Language Generation, Proceedings of the Conference","","","","164","172","8","19","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087180018&partnerID=40&md5=1a6b2722dafa5d72afe370c18fbdbb01","Conference paper","Final","","Scopus","2-s2.0-85087180018"
"Paul A.; Latif A.H.; Adnan F.A.; Rahman R.M.","Paul, Anirudha (57196011398); Latif, Asiful Haque (57196004582); Adnan, Foysal Amin (57196005409); Rahman, Rashedur M. (57202814494)","57196011398; 57196004582; 57196005409; 57202814494","Focused domain contextual ai chatbot framework for resource poor languages","2019","Journal of Information and Telecommunication","3","2","","248","269","21","20","10.1080/24751839.2018.1558378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080560942&doi=10.1080%2f24751839.2018.1558378&partnerID=40&md5=5b7743dfe7ec5466d6267d975f112484","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85080560942"
