"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Alves Pereira J.; Acher M.; Martin H.; Jézéquel J.-M.","Alves Pereira, Juliana (56023378200); Acher, Mathieu (35758465800); Martin, Hugo (57211178917); Jézéquel, Jean-Marc (35618077100)","56023378200; 35758465800; 57211178917; 35618077100","Sampling effect on performance prediction of configurable systems: A case study","2020","ICPE 2020 - Proceedings of the ACM/SPEC International Conference on Performance Engineering","","","","277","288","11","43","10.1145/3358960.3379137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085937290&doi=10.1145%2f3358960.3379137&partnerID=40&md5=8a19c36f93492287147e78e72bd0c59c","Conference paper","Final","","Scopus","2-s2.0-85085937290"
"Jamshidi P.; Siegmund N.; Velez M.; Kastner C.; Patel A.; Agarwal Y.","Jamshidi, Pooyan (34880055700); Siegmund, Norbert (25825645900); Velez, Miguel (57197252423); Kastner, Christian (35547901100); Patel, Akshay (57200511696); Agarwal, Yuvraj (57206496240)","34880055700; 25825645900; 57197252423; 35547901100; 57200511696; 57206496240","Transfer learning for performance modeling of configurable systems: An exploratory analysis","2017","ASE 2017 - Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering","","","8115661","497","508","11","94","10.1109/ASE.2017.8115661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041373067&doi=10.1109%2fASE.2017.8115661&partnerID=40&md5=b192f5e2fe628c444c8ebdf92d387499","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85041373067"
"Chen Y.; Gu Y.; He L.; Xuan J.","Chen, Yuntianyi (57214078114); Gu, Yongfeng (57193075894); He, Lulu (55904247400); Xuan, Jifeng (25640418400)","57214078114; 57193075894; 55904247400; 25640418400","Regression models for performance ranking of configurable systems: A comparative study","2020","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12028 LNCS","","","243","258","15","3","10.1007/978-3-030-41418-4_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081599711&doi=10.1007%2f978-3-030-41418-4_17&partnerID=40&md5=4b5613a9a5e6e5885dfc9e4040781dd4","Conference paper","Final","","Scopus","2-s2.0-85081599711"
"Kaltenecker C.; Grebhahn A.; Siegmund N.; Guo J.; Apel S.","Kaltenecker, Christian (57211018678); Grebhahn, Alexander (42161301000); Siegmund, Norbert (25825645900); Guo, Jianmei (55550120500); Apel, Sven (8725218400)","57211018678; 42161301000; 25825645900; 55550120500; 8725218400","Distance-Based Sampling of Software Configuration Spaces","2020","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","P-300","","","61","64","3","2","10.18420/SE2020_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138680922&doi=10.18420%2fSE2020_17&partnerID=40&md5=d038285559fb3da6f9196361dfc530c5","Conference paper","Final","","Scopus","2-s2.0-85138680922"
"Pereira J.A.; Acher M.; Martin H.; Jézéquel J.-M.; Botterweck G.; Ventresque A.","Pereira, Juliana Alves (56023378200); Acher, Mathieu (35758465800); Martin, Hugo (57211178917); Jézéquel, Jean-Marc (35618077100); Botterweck, Goetz (24460344700); Ventresque, Anthony (23468296300)","56023378200; 35758465800; 57211178917; 35618077100; 24460344700; 23468296300","Learning software configuration spaces: A systematic literature review","2021","Journal of Systems and Software","182","","111044","","","","43","10.1016/j.jss.2021.111044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114450561&doi=10.1016%2fj.jss.2021.111044&partnerID=40&md5=ecba3100562f3148699814dafb924493","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85114450561"
"Clark W.D.K.; Syracuse K.C.; Visbisky M.","Clark, William D. K. (7403515619); Syracuse, Kenneth C. (6506672661); Visbisky, Mark (6506853384)","7403515619; 6506672661; 6506853384","A systems approach to creating reliable batteries for implantable medical applications","1997","Journal of Power Sources","65","1-2","","101","107","6","1","10.1016/S0378-7753(96)02602-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039504530&doi=10.1016%2fS0378-7753%2896%2902602-X&partnerID=40&md5=fd9f43a691e3dc4cde9f8629aa4425bb","Article","Final","","Scopus","2-s2.0-0039504530"
"Iorio F.; Hashemi A.B.; Tao M.; Amza C.","Iorio, Francesco (36902290400); Hashemi, Ali B. (57225333747); Tao, Michael (58024074100); Amza, Cristiana (12140701300)","36902290400; 57225333747; 58024074100; 12140701300","Transfer learning for cross-model regression in performance modeling for the cloud","2019","Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom","2019-December","","8968941","9","18","9","5","10.1109/CloudCom.2019.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079043842&doi=10.1109%2fCloudCom.2019.00015&partnerID=40&md5=437b0028876194443c36003ffb92737b","Conference paper","Final","","Scopus","2-s2.0-85079043842"
"Pursley R.H.; Salem G.; Devasahayam N.; Subramanian S.; Koscielniak J.; Krishna M.C.; Pohida T.J.","Pursley, Randall H. (6603252385); Salem, Ghadi (7005224362); Devasahayam, Nallathamby (6701673098); Subramanian, Sankaran (7202867357); Koscielniak, Janusz (57071555200); Krishna, Murali C. (34668012300); Pohida, Thomas J. (6602241090)","6603252385; 7005224362; 6701673098; 7202867357; 57071555200; 34668012300; 6602241090","Integration of digital signal processing technologies with pulsed electron paramagnetic resonance imaging","2006","Journal of Magnetic Resonance","178","2","","220","227","7","10","10.1016/j.jmr.2005.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30844463194&doi=10.1016%2fj.jmr.2005.10.001&partnerID=40&md5=672730740244763ee6901ebee1dd1025","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-30844463194"
"Kaltenecker C.; Grebhahn A.; Siegmund N.; Guo J.; Apel S.","Kaltenecker, Christian (57211018678); Grebhahn, Alexander (42161301000); Siegmund, Norbert (25825645900); Guo, Jianmei (55550120500); Apel, Sven (8725218400)","57211018678; 42161301000; 25825645900; 55550120500; 8725218400","Distance-Based Sampling of Software Configuration Spaces","2019","Proceedings - International Conference on Software Engineering","2019-May","","8812049","1084","1094","10","81","10.1109/ICSE.2019.00112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062345445&doi=10.1109%2fICSE.2019.00112&partnerID=40&md5=71d36cfab5860bb7aa9115117e32dd00","Conference paper","Final","","Scopus","2-s2.0-85062345445"
"Sarkar A.; Guo J.; Siegmund N.; Apel S.; Czarnecki K.","Sarkar, Atri (57197756994); Guo, Jianmei (55550120500); Siegmund, Norbert (25825645900); Apel, Sven (8725218400); Czarnecki, Krzysztof (6603948729)","57197756994; 55550120500; 25825645900; 8725218400; 6603948729","Cost-efficient sampling for performance prediction of configurable systems","2016","Proceedings - 2015 30th IEEE/ACM International Conference on Automated Software Engineering, ASE 2015","","","7372023","342","352","10","122","10.1109/ASE.2015.45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963815450&doi=10.1109%2fASE.2015.45&partnerID=40&md5=71ca63c6251026190356682a97c06917","Conference paper","Final","","Scopus","2-s2.0-84963815450"
