"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Damasceno C.D.N.; Mousavi M.R.; Simao A.S.","Damasceno, Carlos Diego Nascimento (57125912500); Mousavi, Mohammad Reza (7005703024); Simao, Adenilso da Silva (35618293600)","57125912500; 7005703024; 35618293600","Learning by sampling: learning behavioral family models from software product lines","2021","Empirical Software Engineering","26","1","4","","","","16","10.1007/s10664-020-09912-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099082851&doi=10.1007%2fs10664-020-09912-w&partnerID=40&md5=3b6774521d40b6cb50a16b7225c209bf","Article","Final","","Scopus","2-s2.0-85099082851"
"Schou C.; Sørensen D.G.H.; Li C.; Brunø T.D.; Madsen O.","Schou, Casper (56023056800); Sørensen, Daniel Grud Hellerup (57202854210); Li, Chen (57192578646); Brunø, Thomas Ditlev (56067255600); Madsen, Ole (26421715700)","56023056800; 57202854210; 57192578646; 56067255600; 26421715700","Determining manufacturing system changes based on new product specifications","2020","Journal of Global Operations and Strategic Sourcing","14","4","","590","607","17","4","10.1108/JGOSS-10-2019-0060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097192764&doi=10.1108%2fJGOSS-10-2019-0060&partnerID=40&md5=4f9e4d518b3823427499c804c5c657f4","Article","Final","","Scopus","2-s2.0-85097192764"
"Alves J.; Marques B.; Dias P.; Santos B.S.","Alves, João (57205416612); Marques, Bernardo (57202600898); Dias, Paulo (22333370800); Santos, Beatriz Sousa (7006476948)","57205416612; 57202600898; 22333370800; 7006476948","Using Augmented Reality and Step by Step Verification in Industrial Quality Control","2021","Advances in Intelligent Systems and Computing","1269 AISC","","","350","355","5","4","10.1007/978-3-030-58282-1_55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091118569&doi=10.1007%2f978-3-030-58282-1_55&partnerID=40&md5=09809baab0bc52c8235dbd651842ccea","Conference paper","Final","","Scopus","2-s2.0-85091118569"
"Stead M.; Eadie D.; McKell J.; Sparks L.; MacGregor A.; Anderson A.S.","Stead, Martine (57203105155); Eadie, Douglas (7004452133); McKell, Jennifer (55345240300); Sparks, Leigh (7102080046); MacGregor, Andy (57197148575); Anderson, Annie S. (57182480800)","57203105155; 7004452133; 55345240300; 7102080046; 57197148575; 57182480800","Making hospital shops healthier: Evaluating the implementation of a mandatory standard for limiting food products and promotions in hospital retail outlets","2020","BMC Public Health","20","1","132","","","","17","10.1186/s12889-020-8242-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078712463&doi=10.1186%2fs12889-020-8242-7&partnerID=40&md5=62c5ff9d9c728ca19777597298dd4cad","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85078712463"
"Carbonnel J.; Delahaye D.; Huchard M.; Nebut C.","Carbonnel, Jessie (56921851000); Delahaye, David (8224781000); Huchard, Marianne (6602390606); Nebut, Clémentine (15045364000)","56921851000; 8224781000; 6602390606; 15045364000","Graph-based variability modelling: Towards a classification of existing formalisms","2019","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11530 LNAI","","","27","41","14","4","10.1007/978-3-030-23182-8_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068606329&doi=10.1007%2f978-3-030-23182-8_3&partnerID=40&md5=386f0d5f9e75ecfe9b1b005ca7a28804","Conference paper","Final","","Scopus","2-s2.0-85068606329"
"Chown E.; Lagoudakis M.G.","Chown, Eric (57204140669); Lagoudakis, Michail G. (14035929500)","57204140669; 14035929500","The Standard Platform League","2015","Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","8992","","","636","648","12","1","10.1007/978-3-319-18615-3_52","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958554133&doi=10.1007%2f978-3-319-18615-3_52&partnerID=40&md5=4848e3e470e61d35623e97c92eac93ae","Conference paper","Final","","Scopus","2-s2.0-84958554133"
"Dwyer P.; Wang X.; De Meo-Monteil R.; Hsieh F.; Saron C.D.; Rivera S.M.","Dwyer, Patrick (57211980759); Wang, Xiaodong (57217173930); De Meo-Monteil, Rosanna (57209241751); Hsieh, Fushing (55708201800); Saron, Clifford D. (6602863684); Rivera, Susan M. (7005714540)","57211980759; 57217173930; 57209241751; 55708201800; 6602863684; 7005714540","Defining clusters of young autistic and typically developing children based on loudness-dependent auditory electrophysiological responses","2020","Molecular Autism","11","1","48","","","","17","10.1186/s13229-020-00352-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086625117&doi=10.1186%2fs13229-020-00352-3&partnerID=40&md5=1d2c6e82d26ea8367d49a4bc722601b4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85086625117"
"Bhushan M.; Goel S.","Bhushan, Megha (57191519623); Goel, Shivani (57202651373)","57191519623; 57202651373","Improving software product line using an ontological approach","2016","Sadhana - Academy Proceedings in Engineering Sciences","41","12","","1381","1391","10","26","10.1007/s12046-016-0571-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997542910&doi=10.1007%2fs12046-016-0571-y&partnerID=40&md5=e5ccb390863bc7703104ab774b4fb3e1","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84997542910"
"Andrade-Vieira L.F.; Trento M.V.C.; César P.H.S.; Marcussi S.","Andrade-Vieira, Larissa Fonseca (36730804700); Trento, Marcus Vinícius Cardoso (57188932329); César, Pedro Henrique Souza (59157790900); Marcussi, Silvana (6602528285)","36730804700; 57188932329; 59157790900; 6602528285","Spent pot liner from aluminum industry: genotoxic and mutagenic action on human leukocytes","2019","Environmental Science and Pollution Research","26","27","","27640","27646","6","9","10.1007/s11356-019-04782-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063082332&doi=10.1007%2fs11356-019-04782-2&partnerID=40&md5=e70be5bd63813a01ddf4cedc1c453ac2","Article","Final","","Scopus","2-s2.0-85063082332"
"Sharifloo A.M.; Metzger A.; Quinton C.; Baresi L.; Pohl K.","Sharifloo, Amir Molzam (23390572700); Metzger, Andreas (15119826600); Quinton, Clément (50162276300); Baresi, Luciano (7004855943); Pohl, Klaus (7005770478)","23390572700; 15119826600; 50162276300; 7004855943; 7005770478","Learning and evolution in dynamic software product lines","2016","Proceedings - 11th International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2016","","","2897058","158","164","6","30","10.1145/2897053.2897058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974574995&doi=10.1145%2f2897053.2897058&partnerID=40&md5=e4e0a5766851ae8cfb349cef739bab90","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84974574995"
