modelo,prompt_name,Encontrados dos Selecionados da revisão,Selecionados/Total_revisao,F1 Score,Selecionados/Total_busca,Revisao/Total_busca,article
gemma3:12b,prompt2,1,0.14286,0.08824,0.05882,0.17647,Cost-efficient sampling for performance prediction of configurable systems
mistral-nemo:latest,prompt2,5,0.71429,0.07745,0.06024,0.10843,Cost-efficient sampling for performance prediction of configurable systems
mistral-nemo:latest,prompt0,5,0.71429,0.05268,0.03731,0.08955,Cost-efficient sampling for performance prediction of configurable systems
mistral-nemo:latest,prompt1,5,0.71429,0.05268,0.03731,0.08955,Cost-efficient sampling for performance prediction of configurable systems
llama3.1:latest,prompt1,5,0.71429,0.04384,0.03106,0.07453,Cost-efficient sampling for performance prediction of configurable systems
gemma3:12b,prompt0,4,0.57143,0.01884,0.01361,0.03061,Cost-efficient sampling for performance prediction of configurable systems
gemma3:12b,prompt1,5,0.71429,0.01555,0.01131,0.02489,Cost-efficient sampling for performance prediction of configurable systems
llama3.1:latest,prompt0,6,0.85714,0.00916,0.00654,0.01527,Cost-efficient sampling for performance prediction of configurable systems
llama3.1:latest,prompt2,2,0.28571,0.00376,0.00235,0.0094,Cost-efficient sampling for performance prediction of configurable systems
gemma3:12b,prompt2,1,0.14286,0.0023,0.00129,0.01035,Machine learning techniques to predict software defect
mistral-nemo:latest,prompt2,1,0.14286,0.00229,0.00127,0.01144,Using machine learning to infer constraints for product lines
llama3.1:latest,prompt1,1,0.14286,0.00214,0.0012,0.00962,Using machine learning to infer constraints for product lines
mistral-nemo:latest,prompt1,1,0.14286,0.0021,0.00118,0.00943,Using machine learning to infer constraints for product lines
llama3.1:latest,prompt2,1,0.14286,0.00204,0.00117,0.00818,Using machine learning to infer constraints for product lines
mistral-nemo:latest,prompt1,1,0.14286,0.00202,0.00114,0.00908,Measuring non-functional properties in software product lines for product derivation
gemma3:12b,prompt1,1,0.14286,0.00199,0.00114,0.00795,Using machine learning to infer constraints for product lines
mistral-nemo:latest,prompt0,1,0.14286,0.00195,0.00111,0.0078,SPL Conqueror: Toward optimization of non-functional properties in software product lines
mistral-nemo:latest,prompt2,1,0.14286,0.00191,0.00111,0.00669,Measuring non-functional properties in software product lines for product derivation
gemma3:12b,prompt0,1,0.14286,0.00189,0.00113,0.00566,Measuring non-functional properties in software product lines for product derivation
gemma3:12b,prompt2,1,0.14286,0.00186,0.00109,0.00651,Using machine learning to infer constraints for product lines
gemma3:12b,prompt1,1,0.14286,0.00185,0.00111,0.00554,Measuring non-functional properties in software product lines for product derivation
gemma3:12b,prompt2,1,0.14286,0.00174,0.00109,0.00435,Measuring non-functional properties in software product lines for product derivation
mistral-nemo:latest,prompt0,1,0.14286,0.00172,0.00108,0.00431,Measuring non-functional properties in software product lines for product derivation
mistral-nemo:latest,prompt0,0,0.0,0.0,0.0,0.00112,Using machine learning to infer constraints for product lines
mistral-nemo:latest,prompt0,0,0.0,0.0,0.0,0.00441,Machine learning techniques to predict software defect
gemma3:12b,prompt2,0,0.0,0.0,0.0,0.00858,SPL Conqueror: Toward optimization of non-functional properties in software product lines
mistral-nemo:latest,prompt1,0,0.0,0.0,0.0,0.00331,Machine learning techniques to predict software defect
llama3.1:latest,prompt0,0,0.0,0.0,0.0,0.00115,Using machine learning to infer constraints for product lines
llama3.1:latest,prompt0,0,0.0,0.0,0.0,0.00552,Machine learning techniques to predict software defect
llama3.1:latest,prompt0,0,0.0,0.0,0.0,0.00507,Measuring non-functional properties in software product lines for product derivation
llama3.1:latest,prompt0,0,0.0,0.0,0.0,0.00321,SPL Conqueror: Toward optimization of non-functional properties in software product lines
gemma3:12b,prompt0,0,0.0,0.0,0.0,0.00525,Using machine learning to infer constraints for product lines
mistral-nemo:latest,prompt2,0,0.0,0.0,0.0,0.00629,Machine learning techniques to predict software defect
gemma3:12b,prompt0,0,0.0,0.0,0.0,0.00546,Machine learning techniques to predict software defect
mistral-nemo:latest,prompt2,0,0.0,0.0,0.0,0.01869,SPL Conqueror: Toward optimization of non-functional properties in software product lines
mistral-nemo:latest,prompt1,0,0.0,0.0,0.0,0.00126,SPL Conqueror: Toward optimization of non-functional properties in software product lines
llama3.1:latest,prompt1,0,0.0,0.0,0.0,0.00335,SPL Conqueror: Toward optimization of non-functional properties in software product lines
llama3.1:latest,prompt1,0,0.0,0.0,0.0,0.00115,Measuring non-functional properties in software product lines for product derivation
llama3.1:latest,prompt1,0,0.0,0.0,0.0,0.00323,Machine learning techniques to predict software defect
llama3.1:latest,prompt2,0,0.0,0.0,0.0,0.00568,SPL Conqueror: Toward optimization of non-functional properties in software product lines
llama3.1:latest,prompt2,0,0.0,0.0,0.0,0.00219,Machine learning techniques to predict software defect
llama3.1:latest,prompt2,0,0.0,0.0,0.0,0.00318,Measuring non-functional properties in software product lines for product derivation
gemma3:12b,prompt1,0,0.0,0.0,0.0,0.00431,Machine learning techniques to predict software defect



