"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Munoz D.-J.; Pinto M.; Fuentes L.","Munoz, Daniel-Jesus (57195945082); Pinto, Mónica (7202889740); Fuentes, Lidia (7006580503)","57195945082; 7202889740; 7006580503","Green software development and research with the HADAS toolkit","2017","ACM International Conference Proceeding Series","Part F130530","","","205","211","6","4","10.1145/3129790.3129818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037738418&doi=10.1145%2f3129790.3129818&partnerID=40&md5=2f09ffe09dcd79cd00db3b262461deac","Conference paper","Final","","Scopus","2-s2.0-85037738418"
"Zhang W.","Zhang, Weishan (14038263700)","14038263700","Architecturally reconfigurable development of mobile games","2005","ICESS 2005 - Second International Conference on Embedded Software and Systems","2005","","1609859","66","72","6","7","10.1109/ICESS.2005.32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745886964&doi=10.1109%2fICESS.2005.32&partnerID=40&md5=897775959ecb1dc0a8249cf5fa6b6926","Conference paper","Final","","Scopus","2-s2.0-33745886964"
"Oh J.; Batory D.; Heradio R.","Oh, Jeho (57687936000); Batory, Don (7004911762); Heradio, Rubén (26421131300)","57687936000; 7004911762; 26421131300","Finding Near-optimal Configurations in Colossal Spaces with Statistical Guarantees","2023","ACM Transactions on Software Engineering and Methodology","33","1","7","","","","7","10.1145/3611663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176099656&doi=10.1145%2f3611663&partnerID=40&md5=d42f6ad30815e4c855c3efd341ca8b86","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85176099656"
"Hajizadeh N.; Jahanbazi P.; Akbari R.","Hajizadeh, Nahid (57203227650); Jahanbazi, Peyman (57203226972); Akbari, Reza (57208140309)","57203227650; 57203226972; 57208140309","A Method for Feature Subset Selection in Software Product Lines","2022","International Journal of Software Innovation","11","1","","","","","0","10.4018/ijsi.315654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146131754&doi=10.4018%2fijsi.315654&partnerID=40&md5=d280d92328368d6fdedc72197019c294","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146131754"
"Horcas J.-M.; Pinto M.; Fuentes L.","Horcas, Jose-Miguel (55947780300); Pinto, Mónica (7202889740); Fuentes, Lidia (7006580503)","55947780300; 7202889740; 7006580503","Variability models for generating efficient configurations of functional quality attributes","2018","Information and Software Technology","95","","","147","164","17","19","10.1016/j.infsof.2017.10.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032894007&doi=10.1016%2fj.infsof.2017.10.018&partnerID=40&md5=20a198c05b43337b0a1f3933d5b3d88c","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85032894007"
"Karimpour R.; Ruhe G.","Karimpour, Reza (35179517600); Ruhe, Guenther (6603731510)","35179517600; 6603731510","A search based approach towards robust optimization in software product line scoping","2015","GECCO 2015 - Companion Publication of the 2015 Genetic and Evolutionary Computation Conference","","","","1415","1416","1","3","10.1145/2739482.2764650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959449536&doi=10.1145%2f2739482.2764650&partnerID=40&md5=5fa3179b47b2d7ec834c8ce3ca368b20","Conference paper","Final","","Scopus","2-s2.0-84959449536"
"","","","IFIP WG 5.7 International Conference on Advances in Production Management Systems, APMS 2012","2013","IFIP Advances in Information and Communication Technology","397","PART 1","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897820195&partnerID=40&md5=7455bf3810c8e2f0a5b878866b30fb13","Conference review","Final","","Scopus","2-s2.0-84897820195"
"Demuth A.; Lopez-Herrejon R.E.; Egyed A.","Demuth, Andreas (42861110600); Lopez-Herrejon, Roberto E. (8961082000); Egyed, Alexander (56235607600)","42861110600; 8961082000; 56235607600","Automatic and incremental product optimization for software product lines","2014","Proceedings - IEEE 7th International Conference on Software Testing, Verification and Validation, ICST 2014","","","6823863","31","40","9","5","10.1109/ICST.2014.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903212166&doi=10.1109%2fICST.2014.14&partnerID=40&md5=d205c92f47ddc0ee32ffce79f1b2f329","Conference paper","Final","","Scopus","2-s2.0-84903212166"
"Patali P.; Kassim S.T.","Patali, Pramod (57190292048); Kassim, Shahana Thottathikkulam (15925982800)","57190292048; 15925982800","Exact and approximate multiplications for signal processing applications","2023","Microelectronics Journal","132","","105688","","","","7","10.1016/j.mejo.2023.105688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146143099&doi=10.1016%2fj.mejo.2023.105688&partnerID=40&md5=5e285414125c82bf43716e20b78df176","Article","Final","","Scopus","2-s2.0-85146143099"
"","","","Proceedings - International Conference on Software Engineering","2018","Proceedings - International Conference on Software Engineering","Part F137352","","","","","334","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049694492&partnerID=40&md5=50606c3b593564ad03b8ab2b93a8f0aa","Conference review","Final","","Scopus","2-s2.0-85049694492"
"","","","Proceedings of the 2nd International Workshop on Feature-Oriented Software Development, FOSD'10","2010","Proceedings of the 2nd International Workshop on Feature-Oriented Software Development, FOSD'10","","","","","","87","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751689577&partnerID=40&md5=add247c267acd1124a31fb4ab24f3dcd","Conference review","Final","","Scopus","2-s2.0-78751689577"
"","","","Proceedings - 2015 IEEE International Conference on Web Services, ICWS 2015","2015","Proceedings - 2015 IEEE International Conference on Web Services, ICWS 2015","","","","","","794","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161760436&partnerID=40&md5=12fec25a0c5403f01fb0a8e9f5f56775","Conference review","Final","","Scopus","2-s2.0-85161760436"
"Kröher C.; Flöter M.; Gerling L.; Schmid K.","Kröher, Christian (50161628700); Flöter, Moritz (57195920052); Gerling, Lea (57194014582); Schmid, Klaus (35318603300)","50161628700; 57195920052; 57194014582; 35318603300","Incremental Software Product Line Verification - A Performance Analysis with Dead Variable Code","2023","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","P-332","","","79","80","1","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150061483&partnerID=40&md5=74dc20f390bd0a662ad48acbdef5fe00","Conference paper","Final","","Scopus","2-s2.0-85150061483"
"Zulkoski E.; Kleynhans C.; Yee M.-H.; Rayside D.; Czarnecki K.","Zulkoski, Ed (56242286100); Kleynhans, Chris (56241911800); Yee, Ming-Ho (56242439800); Rayside, Derek (6603182705); Czarnecki, Krzysztof (6603948729)","56242286100; 56241911800; 56242439800; 6603182705; 6603948729","Optimizing alloy for multi-objective software product line configuration","2014","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8477 LNCS","","","328","333","5","2","10.1007/978-3-662-43652-3_34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903650208&doi=10.1007%2f978-3-662-43652-3_34&partnerID=40&md5=153a9772fa420d13c4b9c62f233f71b2","Conference paper","Final","","Scopus","2-s2.0-84903650208"
"Assunção W.K.G.; Vergilio S.R.; Lopez-Herrejon R.E.; Linsbauer L.","Assunção, Wesley K. G. (37361009900); Vergilio, Silvia R. (6506290092); Lopez-Herrejon, Roberto E. (8961082000); Linsbauer, Lukas (55853897300)","37361009900; 6506290092; 8961082000; 55853897300","Search-based variability model synthesis from variant configurations","2022","Handbook of Re-Engineering Software Intensive Systems into Software Product Lines","","","","115","141","26","0","10.1007/978-3-031-11686-5_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160493541&doi=10.1007%2f978-3-031-11686-5_5&partnerID=40&md5=322c765efbfc6ecfa3562426e5d921e5","Book chapter","Final","","Scopus","2-s2.0-85160493541"
"Pereira J.A.; Acher M.; Martin H.; Jézéquel J.-M.; Botterweck G.; Ventresque A.","Pereira, Juliana Alves (56023378200); Acher, Mathieu (35758465800); Martin, Hugo (57211178917); Jézéquel, Jean-Marc (35618077100); Botterweck, Goetz (24460344700); Ventresque, Anthony (23468296300)","56023378200; 35758465800; 57211178917; 35618077100; 24460344700; 23468296300","Learning software configuration spaces: A systematic literature review","2021","Journal of Systems and Software","182","","111044","","","","42","10.1016/j.jss.2021.111044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114450561&doi=10.1016%2fj.jss.2021.111044&partnerID=40&md5=ecba3100562f3148699814dafb924493","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85114450561"
"Siegmund N.; Rosenmüller M.; Kuhlemann M.; Kästner C.; Apel S.; Saake G.","Siegmund, Norbert (25825645900); Rosenmüller, Marko (35240944800); Kuhlemann, Martin (20433849900); Kästner, Christian (35547901100); Apel, Sven (8725218400); Saake, Gunter (7004621677)","25825645900; 35240944800; 20433849900; 35547901100; 8725218400; 7004621677","SPL Conqueror: Toward optimization of non-functional properties in software product lines","2012","Software Quality Journal","20","3-4","","487","517","30","139","10.1007/s11219-011-9152-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865652421&doi=10.1007%2fs11219-011-9152-9&partnerID=40&md5=bf85905c5f69cf761a11661012b7e44e","Article","Final","","Scopus","2-s2.0-84865652421"
"Hartner R.; Komar J.; Mezhuyev V.","Hartner, Raphael (57219839518); Komar, Joachim (57751442300); Mezhuyev, Vitaliy (24468383200)","57219839518; 57751442300; 24468383200","An approach for increasing the throughput of a CNN-based industrial quality inspections system with constrained devices","2022","ACM International Conference Proceeding Series","","","","179","184","5","2","10.1145/3524304.3524330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132286927&doi=10.1145%2f3524304.3524330&partnerID=40&md5=514eb10ed7295ca01ee7c9bf0bc13548","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132286927"
"Bu C.; Wang X.-W.; Huang M.","Bu, Chao (57094714300); Wang, Xing-Wei (54924910100); Huang, Min (8652589000)","57094714300; 54924910100; 8652589000","Adaptive Routing Service Composition: Modeling and Optimization","2017","Ruan Jian Xue Bao/Journal of Software","28","9","","2481","2501","20","1","10.13328/j.cnki.jos.005299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033376019&doi=10.13328%2fj.cnki.jos.005299&partnerID=40&md5=da41fcec7e2b5214e0bde6fc25887fcb","Article","Final","","Scopus","2-s2.0-85033376019"
"Afzal U.; Mahmood T.; Usmani S.","Afzal, Uzma (57204454040); Mahmood, Tariq (57217346056); Usmani, Shazia (57916923000)","57204454040; 57217346056; 57916923000","Evolutionary Computing to solve product inconsistencies in Software Product Lines","2022","Science of Computer Programming","224","","102875","","","","1","10.1016/j.scico.2022.102875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139341541&doi=10.1016%2fj.scico.2022.102875&partnerID=40&md5=c71e8b3f525e80458a737d8d05783ed4","Article","Final","","Scopus","2-s2.0-85139341541"
"Sánchez L.E.; Diaz-Pace J.A.; Zunino A.","Sánchez, Luis Emiliano (57196702292); Diaz-Pace, Jorge Andrés (14017872900); Zunino, Alejandro (8688799600)","57196702292; 14017872900; 8688799600","A family of heuristic search algorithms for feature model optimization","2019","Science of Computer Programming","172","","","264","293","29","8","10.1016/j.scico.2018.12.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059176951&doi=10.1016%2fj.scico.2018.12.002&partnerID=40&md5=067312c0e297ab7c0eabc9a9ea58ca3e","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85059176951"
"Karimpour R.; Ruhe G.","Karimpour, Reza (35179517600); Ruhe, Guenther (6603731510)","35179517600; 6603731510","Evolutionary robust optimization for software product line scoping: An explorative study","2017","Computer Languages, Systems and Structures","47","","","189","210","21","12","10.1016/j.cl.2016.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027929368&doi=10.1016%2fj.cl.2016.07.007&partnerID=40&md5=998276094e538ef7f2d05e34d492790f","Article","Final","","Scopus","2-s2.0-85027929368"
"Jamil M.A.; Nour M.K.; Alhindi A.; Awang Abhubakar N.S.; Arif M.; Aljabri T.F.","Jamil, Muhammad Abid (57212398330); Nour, Mohamed K (56027613700); Alhindi, Ahmad (55632703100); Awang Abhubakar, Normi Sham (56565540900); Arif, Muhammad (57701859000); Aljabri, Tareq Fahad (57215560333)","57212398330; 56027613700; 55632703100; 56565540900; 57701859000; 57215560333","Towards Software Product Lines Optimization Using Evolutionary Algorithms","2019","Procedia Computer Science","163","","","527","537","10","7","10.1016/j.procs.2019.12.135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081154087&doi=10.1016%2fj.procs.2019.12.135&partnerID=40&md5=b00d4e00a42dc8a6909f751f10cd02ab","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081154087"
"Yadav H.; Chhikara R.; Kumari C.","Yadav, Hitesh (57218502635); Chhikara, Rita (56136940800); Kumari, Charan (57428166300)","57218502635; 56136940800; 57428166300","Hybrid Model using Firefly and BBO for Feature Selection in Software Product Line","2021","Recent Advances in Computer Science and Communications","14","9","","2754","2760","6","2","10.2174/2666255813999200710132013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123509206&doi=10.2174%2f2666255813999200710132013&partnerID=40&md5=f14934a9d41870f4f79c3d1a785ed4d9","Article","Final","","Scopus","2-s2.0-85123509206"
"Xue Y.; Li M.; Shepperd M.; Lauria S.; Liu X.","Xue, Yani (57210727265); Li, Miqing (24401307300); Shepperd, Martin (55909730400); Lauria, Stasha (6602947402); Liu, Xiaohui (35290922200)","57210727265; 24401307300; 55909730400; 6602947402; 35290922200","A novel aggregation-based dominance for Pareto-based evolutionary algorithms to configure software product lines","2019","Neurocomputing","364","","","32","48","16","11","10.1016/j.neucom.2019.06.075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071315077&doi=10.1016%2fj.neucom.2019.06.075&partnerID=40&md5=d13579b19c4348ae66d4b76cad56ee8d","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85071315077"
"Greenyer J.; Molzam Sharifloo A.; Cordy M.; Heymans P.","Greenyer, Joel (22979533400); Molzam Sharifloo, Amir (55646301000); Cordy, Maxime (55035833600); Heymans, Patrick (8956561800)","22979533400; 55646301000; 55035833600; 8956561800","Features meet scenarios: Modeling and consistency-checking scenario-based product line specifications","2013","Requirements Engineering","18","2","","175","198","23","8","10.1007/s00766-013-0169-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878958918&doi=10.1007%2fs00766-013-0169-4&partnerID=40&md5=c033dc5ffc0924099f36329b6c5cefe3","Article","Final","","Scopus","2-s2.0-84878958918"
"Kröher C.; Flöter M.; Gerling L.; Schmid K.","Kröher, Christian (50161628700); Flöter, Moritz (57195920052); Gerling, Lea (57194014582); Schmid, Klaus (35318603300)","50161628700; 57195920052; 57194014582; 35318603300","Incremental software product line verification - A performance analysis with dead variable code","2022","Empirical Software Engineering","27","3","68","","","","8","10.1007/s10664-021-10090-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126800808&doi=10.1007%2fs10664-021-10090-6&partnerID=40&md5=726a22273ca95c12830981d5fac96811","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85126800808"
"Cañete A.","Cañete, Angel (57210886346)","57210886346","Energy efficient assignment and deployment of tasks in structurally variable infrastructures","2019","ACM International Conference Proceeding Series","B","","","","","","1","10.1145/3307630.3342704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123042954&doi=10.1145%2f3307630.3342704&partnerID=40&md5=3e5b526c23beb57d97f1d01e6bbe8438","Conference paper","Final","","Scopus","2-s2.0-85123042954"
"Abbas A.; Wu Z.; Siddiqui I.F.; Lee S.U.-J.","Abbas, Asad (57189391152); Wu, Zhiqiang (57189376103); Siddiqui, Isma Farah (57204099490); Lee, Scott Uk-Jin (56499567800)","57189391152; 57189376103; 57204099490; 56499567800","An approach for optimized feature selection in Software Product Lines using union-find and genetic algorithms","2016","Indian Journal of Science and Technology","9","17","92728","","","","11","10.17485/ijst/2016/v9i17/92728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970038577&doi=10.17485%2fijst%2f2016%2fv9i17%2f92728&partnerID=40&md5=265e06142448c61b930def748a08693c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84970038577"
"","","","Procedia CIRP","2014","Procedia CIRP","17","C","","858","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923217900&partnerID=40&md5=ab880329b32c00e026fbc5204926da4c","Conference review","Final","","Scopus","2-s2.0-84923217900"
"Couto M.; Borba P.; Cunha J.; Fernandes J.P.; Pereira R.; Saraiva J.","Couto, Marco (56367675600); Borba, Paulo (6603640441); Cunha, Jácome (23983985900); Fernandes, João Paulo (7201540314); Pereira, Rui (35211356500); Saraiva, João (57203315736)","56367675600; 6603640441; 23983985900; 7201540314; 35211356500; 57203315736","Products go green:Worst-case energy consumption in so-ware product lines","2017","ACM International Conference Proceeding Series","1","","","84","93","9","17","10.1145/3106195.3106214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032269775&doi=10.1145%2f3106195.3106214&partnerID=40&md5=64f5020b8b2a2eaea55f731309a8919e","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85032269775"
