"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Lesoil L.; Acher M.; Térnava X.; Blouin A.; Jézéquel J.-M.","Lesoil, Luc (57222037142); Acher, Mathieu (35758465800); Térnava, Xhevahire (57194207220); Blouin, Arnaud (23134699800); Jézéquel, Jean-Marc (35618077100)","57222037142; 35758465800; 57194207220; 23134699800; 35618077100","The interplay of compile-time and run-time options for performance prediction","2021","ACM International Conference Proceeding Series","Part F171624-A","","","100","111","11","12","10.1145/3461001.3471149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115307672&doi=10.1145%2f3461001.3471149&partnerID=40&md5=cfa51bfbc5b897878dbb63daaba516f2","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85115307672"
"Alves Pereira J.; Acher M.; Martin H.; Jézéquel J.-M.","Alves Pereira, Juliana (56023378200); Acher, Mathieu (35758465800); Martin, Hugo (57211178917); Jézéquel, Jean-Marc (35618077100)","56023378200; 35758465800; 57211178917; 35618077100","Sampling effect on performance prediction of configurable systems: A case study","2020","ICPE 2020 - Proceedings of the ACM/SPEC International Conference on Performance Engineering","","","","277","288","11","43","10.1145/3358960.3379137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085937290&doi=10.1145%2f3358960.3379137&partnerID=40&md5=8a19c36f93492287147e78e72bd0c59c","Conference paper","Final","","Scopus","2-s2.0-85085937290"
"Kumara I.; Ariz M.H.; Chhetri M.B.; Mohammadi M.; Heuvel W.-J.V.D.; Tamburri D.A.","Kumara, Indika (36662316400); Ariz, Mohamed Hameez (57422046600); Chhetri, Mohan Baruwal (55940676600); Mohammadi, Majid (56915312700); Heuvel, Willem-Jan Van Den (7005472245); Tamburri, Damian A. (35488974800)","36662316400; 57422046600; 55940676600; 56915312700; 7005472245; 35488974800","FOCloud: Feature Model Guided Performance Prediction and Explanation for Deployment Configurable Cloud Applications","2023","IEEE Transactions on Services Computing","16","1","","302","314","12","12","10.1109/TSC.2022.3142853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123315403&doi=10.1109%2fTSC.2022.3142853&partnerID=40&md5=0810cda1b17dc27d1b2176a00aadb426","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85123315403"
"Xiang Y.; Yang X.; Huang H.; Huang Z.; Li M.","Xiang, Yi (57203757685); Yang, Xiaowei (56153285000); Huang, Han (55738302300); Huang, Zhengxin (57210816353); Li, Miqing (24401307300)","57203757685; 56153285000; 55738302300; 57210816353; 24401307300","Sampling configurations from software product lines via probability-aware diversification and SAT solving","2022","Automated Software Engineering","29","2","54","","","","3","10.1007/s10515-022-00348-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137542951&doi=10.1007%2fs10515-022-00348-8&partnerID=40&md5=0867d5470645308aa9a7f3c73fe72aca","Article","Final","","Scopus","2-s2.0-85137542951"
"Ha H.; Zhang H.","Ha, Huong (57225447616); Zhang, Hongyu (55685668500)","57225447616; 55685668500","Performance-Influence Model for Highly Configurable Software with Fourier Learning and Lasso Regression","2019","Proceedings - 2019 IEEE International Conference on Software Maintenance and Evolution, ICSME 2019","","","8919029","470","480","10","24","10.1109/ICSME.2019.00080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077205596&doi=10.1109%2fICSME.2019.00080&partnerID=40&md5=6f28790900e746691a835334da7890d3","Conference paper","Final","","Scopus","2-s2.0-85077205596"
"Xia Y.; Ding Z.; Shang W.","Xia, Yuanjie (57219626200); Ding, Zishuo (57145921100); Shang, Weiyi (35093168200)","57219626200; 57145921100; 35093168200","CoMSA: A Modeling-Driven Sampling Approach for Configuration Performance Testing","2023","Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023","","","","1352","1363","11","1","10.1109/ASE56229.2023.00091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179004808&doi=10.1109%2fASE56229.2023.00091&partnerID=40&md5=21310d2c6370752bc12793a4d6b63066","Conference paper","Final","","Scopus","2-s2.0-85179004808"
"Chen Y.; Gu Y.; He L.; Xuan J.","Chen, Yuntianyi (57214078114); Gu, Yongfeng (57193075894); He, Lulu (55904247400); Xuan, Jifeng (25640418400)","57214078114; 57193075894; 55904247400; 25640418400","Regression models for performance ranking of configurable systems: A comparative study","2020","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12028 LNCS","","","243","258","15","3","10.1007/978-3-030-41418-4_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081599711&doi=10.1007%2f978-3-030-41418-4_17&partnerID=40&md5=4b5613a9a5e6e5885dfc9e4040781dd4","Conference paper","Final","","Scopus","2-s2.0-85081599711"
"Ha H.; Zhang H.","Ha, Huong (57225447616); Zhang, Hongyu (55685668500)","57225447616; 55685668500","DeepPerf: Performance Prediction for Configurable Software with Deep Sparse Neural Network","2019","Proceedings - International Conference on Software Engineering","2019-May","","8811988","1095","1106","11","83","10.1109/ICSE.2019.00113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072296070&doi=10.1109%2fICSE.2019.00113&partnerID=40&md5=86756357c108de5a150d4a5e8f30dac1","Conference paper","Final","","Scopus","2-s2.0-85072296070"
"Kaltenecker C.; Grebhahn A.; Siegmund N.; Guo J.; Apel S.","Kaltenecker, Christian (57211018678); Grebhahn, Alexander (42161301000); Siegmund, Norbert (25825645900); Guo, Jianmei (55550120500); Apel, Sven (8725218400)","57211018678; 42161301000; 25825645900; 55550120500; 8725218400","Distance-Based Sampling of Software Configuration Spaces","2020","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","P-300","","","61","64","3","2","10.18420/SE2020_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138680922&doi=10.18420%2fSE2020_17&partnerID=40&md5=d038285559fb3da6f9196361dfc530c5","Conference paper","Final","","Scopus","2-s2.0-85138680922"
"Pereira J.A.; Acher M.; Martin H.; Jézéquel J.-M.; Botterweck G.; Ventresque A.","Pereira, Juliana Alves (56023378200); Acher, Mathieu (35758465800); Martin, Hugo (57211178917); Jézéquel, Jean-Marc (35618077100); Botterweck, Goetz (24460344700); Ventresque, Anthony (23468296300)","56023378200; 35758465800; 57211178917; 35618077100; 24460344700; 23468296300","Learning software configuration spaces: A systematic literature review","2021","Journal of Systems and Software","182","","111044","","","","42","10.1016/j.jss.2021.111044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114450561&doi=10.1016%2fj.jss.2021.111044&partnerID=40&md5=ecba3100562f3148699814dafb924493","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85114450561"
