"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Peng X.","Peng, Xuemei (57223052404)","57223052404","Research on Software Defect Prediction and Analysis Based on Machine Learning","2022","Journal of Physics: Conference Series","2173","1","012043","","","","5","10.1088/1742-6596/2173/1/012043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124690558&doi=10.1088%2f1742-6596%2f2173%2f1%2f012043&partnerID=40&md5=90bcbda5dd6edb17bba485129e0c4ae6","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85124690558"
"Ardimento P.; Aversano L.; Bernardi M.L.; Cimitile M.","Ardimento, Pasquale (12797261100); Aversano, Lerina (6701736448); Bernardi, Mario Luca (57195515766); Cimitile, Marta (23392132800)","12797261100; 6701736448; 57195515766; 23392132800","Temporal convolutional networks for just-in-Time software defect prediction","2020","ICSOFT 2020 - Proceedings of the 15th International Conference on Software Technologies","","","","384","393","9","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091800167&partnerID=40&md5=9989e17f3841c238b809ed7bf3c91953","Conference paper","Final","","Scopus","2-s2.0-85091800167"
"Malhotra R.; Chawla S.; Sharma A.","Malhotra, Ruchika (15758058000); Chawla, Sonali (58078843600); Sharma, Anjali (56429810800)","15758058000; 58078843600; 56429810800","Software defect prediction using hybrid techniques: a systematic literature review","2023","Soft Computing","27","12","","8255","8288","33","14","10.1007/s00500-022-07738-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146888712&doi=10.1007%2fs00500-022-07738-w&partnerID=40&md5=9ae54bd4f56bc593a779802b67506558","Article","Final","","Scopus","2-s2.0-85146888712"
"Miholca D.-L.; Czibula G.; Tomescu V.","Miholca, Diana-Lucia (57105503900); Czibula, Gabriela (24829228400); Tomescu, Vlad (57217586066)","57105503900; 24829228400; 57217586066","CoMET: A conceptual coupling based metrics suite for software defect prediction","2020","Procedia Computer Science","176","","","31","40","9","7","10.1016/j.procs.2020.08.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093362635&doi=10.1016%2fj.procs.2020.08.004&partnerID=40&md5=90a17b2596ec1edb3eae8b3d2947e3e6","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85093362635"
"Goyal J.; Sinha R.R.","Goyal, Jayanti (57213055830); Sinha, Ripu Ranjan (57218711323)","57213055830; 57218711323","Machine Learning-Based Defect Prediction for Software Efficiency","2023","International Journal of Intelligent Systems and Applications in Engineering","11","6s","","257","266","9","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168966161&partnerID=40&md5=1f6cd358ffaf6c412448efcfea1e16fd","Article","Final","","Scopus","2-s2.0-85168966161"
"Saifudin A.; Trisetyarso A.; Suparta W.; Kang C.H.; Abbas B.S.; Heryadi Y.","Saifudin, A. (57212083789); Trisetyarso, A. (36337949500); Suparta, W. (24330191400); Kang, C.H. (57203058999); Abbas, B.S. (55835973000); Heryadi, Y. (9944012900)","57212083789; 36337949500; 24330191400; 57203058999; 55835973000; 9944012900","Feature Selection in Cross-Project Software Defect Prediction","2020","Journal of Physics: Conference Series","1569","2","022001","","","","1","10.1088/1742-6596/1569/2/022001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091736635&doi=10.1088%2f1742-6596%2f1569%2f2%2f022001&partnerID=40&md5=18ee190b30c00fe27e7930da57a3b259","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85091736635"
"Gautam S.; Khunteta A.; Ghosh D.","Gautam, Shikha (58717426500); Khunteta, Ajay (57192182612); Ghosh, Debolina (57169524000)","58717426500; 57192182612; 57169524000","A Review on Software Defect Prediction Using Machine Learning","2022","ACM International Conference Proceeding Series","","","81","","","","0","10.1145/3590837.3590918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162241693&doi=10.1145%2f3590837.3590918&partnerID=40&md5=738f26c7775ddfdcbaa63d24a6bd66cb","Conference paper","Final","","Scopus","2-s2.0-85162241693"
"Nishthaa; Malhotra R.","Nishthaa (58774517900); Malhotra, Ruchika (15758058000)","58774517900; 15758058000","Identification of Defects in a Software Using Machine Learning","2023","AIP Conference Proceedings","2855","1","060013","","","","0","10.1063/5.0179183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180359531&doi=10.1063%2f5.0179183&partnerID=40&md5=d4f2f54b26981df801e2d515e760ac73","Conference paper","Final","","Scopus","2-s2.0-85180359531"
"Malhotra R.; Jain J.","Malhotra, Ruchika (15758058000); Jain, Juhi (57207990516)","15758058000; 57207990516","Predicting defects in imbalanced data using resampling methods: An empirical investigation","2022","PeerJ Computer Science","8","","e573","","","","6","10.7717/peerj-cs.573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130801503&doi=10.7717%2fpeerj-cs.573&partnerID=40&md5=12753807a48a0bd107f30debbf78eb9b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85130801503"
"Wu W.; Wang S.; Shao Y.; Zhang M.; Xie W.","Wu, Wentao (58185425600); Wang, Shihai (24802335300); Shao, Yuanxun (56808325500); Zhang, Mingxing (57955021900); Xie, Wandong (37121411000)","58185425600; 24802335300; 56808325500; 57955021900; 37121411000","A Software Defect Prediction Classifier based on Three Minimum Support Threshold Association Rule Mining","2022","Proceedings - 2022 IEEE 22nd International Conference on Software Quality, Reliability and Security Companion, QRS-C 2022","","","","278","282","4","4","10.1109/QRS-C57518.2022.00048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152634427&doi=10.1109%2fQRS-C57518.2022.00048&partnerID=40&md5=e403ee2613a97d029ca825dfb1b45096","Conference paper","Final","","Scopus","2-s2.0-85152634427"
"Singh R.; Singh J.; Gill M.S.; Malhotra R.; Garima","Singh, Rituraj (57204369598); Singh, Jasmeet (57216703035); Gill, Mehrab Singh (57219439480); Malhotra, Ruchika (15758058000); Garima (59478856700)","57204369598; 57216703035; 57219439480; 15758058000; 59478856700","Transfer Learning Code Vectorizer based Machine Learning Models for Software Defect Prediction","2020","2020 International Conference on Computational Performance Evaluation, ComPE 2020","","","9200076","497","502","5","7","10.1109/ComPE49325.2020.9200076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092738620&doi=10.1109%2fComPE49325.2020.9200076&partnerID=40&md5=9ad35b11aad3083364aeddb1daa28070","Conference paper","Final","","Scopus","2-s2.0-85092738620"
"Lin Z.; Wu T.-Y.; Sun Y.; Xu J.; Obaidat M.S.","Lin, Zhaowen (16024863600); Wu, Tin-Yu (7404814798); Sun, Yan (56358931400); Xu, Jie (57201874476); Obaidat, Mohammad S. (7005628795)","16024863600; 7404814798; 56358931400; 57201874476; 7005628795","A TAS-model-based algorithm for rule redundancy detection and scene scheduling in smart home systems","2018","IEEE Systems Journal","12","3","8166748","3018","3029","11","8","10.1109/JSYST.2017.2771349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037554389&doi=10.1109%2fJSYST.2017.2771349&partnerID=40&md5=b6f0193aa3721f480545698d5aa71956","Article","Final","","Scopus","2-s2.0-85037554389"
"Mehta S.; Patnaik K.S.","Mehta, Sweta (57222256908); Patnaik, K. Sridhar (24438167800)","57222256908; 24438167800","Stacking Based Ensemble Learning for Improved Software Defect Prediction","2021","Lecture Notes in Electrical Engineering","748","","","167","178","11","3","10.1007/978-981-16-0275-7_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115441211&doi=10.1007%2f978-981-16-0275-7_14&partnerID=40&md5=dc2399f1ef884803b2f0a9ee06e2d95f","Conference paper","Final","","Scopus","2-s2.0-85115441211"
"Pandey S.K.; Tripathi A.K.","Pandey, Sushant Kumar (57193136336); Tripathi, Anil Kumar (59029914200)","57193136336; 59029914200","Class Imbalance Issue in Software Defect Prediction Models by various Machine Learning Techniques: An Empirical Study","2021","2021 8th International Conference on Smart Computing and Communications: Artificial Intelligence, AI Driven Applications for a Smart World, ICSCC 2021","","","","58","63","5","10","10.1109/ICSCC51209.2021.9528170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115681149&doi=10.1109%2fICSCC51209.2021.9528170&partnerID=40&md5=1d45dc676dd650b65c7839bd7ca57b7d","Conference paper","Final","","Scopus","2-s2.0-85115681149"
"Majd A.; Vahidi-Asl M.; Khalilian A.; Poorsarvi-Tehrani P.; Haghighi H.","Majd, Amirabbas (57210449975); Vahidi-Asl, Mojtaba (24923687100); Khalilian, Alireza (36849004700); Poorsarvi-Tehrani, Pooria (57212931122); Haghighi, Hassan (57189446914)","57210449975; 24923687100; 36849004700; 57212931122; 57189446914","SLDeep: Statement-level software defect prediction using deep-learning model on static code features","2020","Expert Systems with Applications","147","","113156","","","","87","10.1016/j.eswa.2019.113156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077495784&doi=10.1016%2fj.eswa.2019.113156&partnerID=40&md5=4f7426cf00845674d73b0d9d3be3e13d","Article","Final","","Scopus","2-s2.0-85077495784"
"Petrovic A.; Jovanovic L.; Bacanin N.; Antonijevic M.; Savanovic N.; Zivkovic M.; Milovanovic M.; Gajic V.","Petrovic, Aleksandar (57220498816); Jovanovic, Luka (57208164323); Bacanin, Nebojsa (37028223900); Antonijevic, Milos (57207255354); Savanovic, Nikola (57194726428); Zivkovic, Miodrag (57208755936); Milovanovic, Marina (36992347600); Gajic, Vuk (57810928900)","57220498816; 57208164323; 37028223900; 57207255354; 57194726428; 57208755936; 36992347600; 57810928900","Exploring Metaheuristic Optimized Machine Learning for Software Defect Detection on Natural Language and Classical Datasets","2024","Mathematics","12","18","2918","","","","8","10.3390/math12182918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205128382&doi=10.3390%2fmath12182918&partnerID=40&md5=5ddea9d2e8d014490f6d76ff34dad247","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205128382"
"Ronchieri E.; Canaparo M.; Salomoni D.","Ronchieri, Elisabetta (8211491800); Canaparo, Marco (34976326100); Salomoni, Davide (24401743900)","8211491800; 34976326100; 24401743900","Machine learning techniques for software analysis of unlabelled program modules","2019","Proceedings of Science","351","","018","","","","0","10.22323/1.351.0018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076468692&doi=10.22323%2f1.351.0018&partnerID=40&md5=1bc2705341953a43a6b50e5e37db61de","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85076468692"
"Ji H.; Huang S.; Lv X.; Wu Y.; Feng Y.","Ji, Haijin (57200079091); Huang, Song (55608828500); Lv, Xuewei (57203284936); Wu, Yaning (56176857200); Feng, Yuntian (58378025100)","57200079091; 55608828500; 57203284936; 56176857200; 58378025100","Empirical studies of a kernel density estimation based naive bayes method for software defect prediction","2019","IEICE Transactions on Information and Systems","","1","","75","84","9","13","10.1587/transinf.2018EDP7177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059985957&doi=10.1587%2ftransinf.2018EDP7177&partnerID=40&md5=df456d8ef1ad33333ad1b494bd794202","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85059985957"
